trade_id,symbol,side,entry_time_utc,entry_price,lowest_100_price,highest_100_price,atr_14,stop_loss_price,take_profit_price,risk_usdt,target_reward_usdt,result,pnl_usdt,holding_bars,target,trend_100b_pct,trend_50b_pct,trend_20b_pct,stoch_pos_pct,norm_atr_pct,volatility_range_pct,volume_ratio,entry_hour,dist_to_100low_pct,last_bar_body_ratio,last_bar_is_bullish
1190,TACUSDT,LONG,2026-08-17 03:00:00 UTC,0.00287,0.00256,0.003,6e-05,0.00244,0.00373,7.5,15.0,LOSS,-7.5,53,0,0.0,9.1255,3.6101,70.4545,2.0906,15.331,1.0724,3,10.8014,0.0,0
1191,TACUSDT,LONG,2026-08-17 04:00:00 UTC,0.00284,0.00256,0.003,6e-05,0.00244,0.00364,7.07,14.15,LOSS,-7.07,52,0,-1.3889,8.3969,2.5271,63.6364,2.1127,15.493,0.8756,4,9.8592,0.4286,0
1192,TACUSDT,LONG,2026-08-17 05:00:00 UTC,0.00284,0.00256,0.003,6e-05,0.00244,0.00363,6.99,13.97,LOSS,-6.99,51,0,-0.3509,8.8123,2.8986,63.6364,2.1127,15.493,0.8275,5,9.8592,0.0,0
1193,TACUSDT,LONG,2026-08-17 06:00:00 UTC,0.00282,0.00256,0.003,6e-05,0.00245,0.00357,6.64,13.28,LOSS,-6.64,50,0,-1.3986,7.2243,2.1739,59.0909,2.1277,15.6028,0.8038,6,9.2199,0.6667,0
1194,TACUSDT,LONG,2026-08-17 07:00:00 UTC,0.00284,0.00256,0.003,6e-05,0.00245,0.00363,6.93,13.86,LOSS,-6.93,49,0,-1.7301,7.1698,3.2727,63.6364,2.1127,15.493,0.7683,7,9.8592,0.5,1
1195,TACUSDT,LONG,2026-08-17 08:00:00 UTC,0.0028,0.00256,0.003,6e-05,0.00245,0.00351,6.31,12.63,LOSS,-6.31,48,0,-3.1142,5.2632,2.1898,54.5455,2.1429,15.7143,0.7804,8,8.5714,0.8,0
1196,TACUSDT,LONG,2026-08-17 09:00:00 UTC,0.00282,0.00256,0.003,5e-05,0.00245,0.00355,6.49,12.99,LOSS,-6.49,47,0,-3.0928,5.618,2.1739,59.0909,1.773,15.6028,0.7349,9,9.2199,0.6667,1
1197,TACUSDT,LONG,2026-08-17 10:00:00 UTC,0.0028,0.00256,0.003,5e-05,0.00246,0.0035,6.18,12.35,LOSS,-6.18,46,0,-3.1142,5.6604,0.3584,54.5455,1.7857,15.7143,0.6927,10,8.5714,1.0,0
1198,TACUSDT,LONG,2026-08-17 11:00:00 UTC,0.00284,0.00256,0.003,5e-05,0.00246,0.00361,6.78,13.55,LOSS,-6.78,45,0,-1.7301,5.9701,3.2727,63.6364,1.7606,15.493,0.6688,11,9.8592,0.6667,1
1199,TACUSDT,LONG,2026-08-17 12:00:00 UTC,0.00283,0.00256,0.003,5e-05,0.00246,0.00358,6.6,13.19,LOSS,-6.6,44,0,-1.7361,4.0441,-3.7415,61.3636,1.7668,15.5477,0.6351,12,9.5406,0.3333,0
1200,TACUSDT,LONG,2026-08-17 13:00:00 UTC,0.0028,0.00256,0.003,5e-05,0.00246,0.00347,6.02,12.04,LOSS,-6.02,43,0,-3.125,1.8248,-5.102,54.5455,1.7857,15.7143,0.5843,13,8.5714,0.8,0
1201,TACUSDT,LONG,2026-08-17 14:00:00 UTC,0.00279,0.00256,0.003,5e-05,0.00246,0.00344,5.83,11.66,LOSS,-5.83,42,0,-3.125,-4.4521,-4.7782,52.2727,1.7921,15.7706,0.5486,14,8.2437,0.5,0
1202,TACUSDT,LONG,2026-08-17 15:00:00 UTC,0.0028,0.00256,0.003,5e-05,0.00247,0.00346,5.91,11.82,LOSS,-5.91,41,0,-1.4085,0.7194,-4.1096,54.5455,1.7857,15.7143,0.5592,15,8.5714,0.3333,1
1203,TACUSDT,LONG,2026-08-17 16:00:00 UTC,0.00279,0.00256,0.003,5e-05,0.00247,0.00344,5.79,11.58,LOSS,-5.79,40,0,-2.1053,-1.7606,-4.4521,52.2727,1.7921,15.7706,0.6353,16,8.2437,0.3333,0
